run,iterations,type,latency
4,1600000,Independent Client,0.321032
4,1600000,Independent Client (elevated),0.200243
4,1600000,Client + Server,0.572710
4,1600000,Client + Server (elevated),0.450267
5,1600000,Independent Client,0.327939
5,1600000,Independent Client (elevated),0.201433
5,1600000,Client + Server,0.579967
5,1600000,Client + Server (elevated),0.449815
6,1600000,Independent Client,0.330727
6,1600000,Independent Client (elevated),0.192933
6,1600000,Client + Server,0.580424
6,1600000,Client + Server (elevated),0.447543
7,1600000,Independent Client,0.326971
7,1600000,Independent Client (elevated),0.194124
7,1600000,Client + Server,0.574093
7,1600000,Client + Server (elevated),0.412844
8,1600000,Independent Client,0.311220
8,1600000,Independent Client (elevated),0.198143
8,1600000,Client + Server,0.582146
8,1600000,Client + Server (elevated),0.433423
9,1600000,Independent Client,0.308567
9,1600000,Independent Client (elevated),0.200041
9,1600000,Client + Server,0.571204
9,1600000,Client + Server (elevated),0.455429
0,1700000,Independent Client,0.341374
0,1700000,Independent Client (elevated),0.206456
0,1700000,Client + Server,0.623772
0,1700000,Client + Server (elevated),0.473512
1,1700000,Independent Client,0.338362
1,1700000,Independent Client (elevated),0.213436
1,1700000,Client + Server,0.615911
1,1700000,Client + Server (elevated),0.468785
2,1700000,Independent Client,0.349914
2,1700000,Independent Client (elevated),0.206299
2,1700000,Client + Server,0.624066
2,1700000,Client + Server (elevated),0.466780
3,1700000,Independent Client,0.341599
3,1700000,Independent Client (elevated),0.206471
3,1700000,Client + Server,0.609121
3,1700000,Client + Server (elevated),0.473128
4,1700000,Independent Client,0.337340
4,1700000,Independent Client (elevated),0.209920
4,1700000,Client + Server,0.606445
4,1700000,Client + Server (elevated),0.474057
5,1700000,Independent Client,0.332847
5,1700000,Independent Client (elevated),0.208058
5,1700000,Client + Server,0.610841
5,1700000,Client + Server (elevated),0.458498
6,1700000,Independent Client,0.338855
6,1700000,Independent Client (elevated),0.207447
6,1700000,Client + Server,0.592922
6,1700000,Client + Server (elevated),0.472389
7,1700000,Independent Client,0.338354
7,1700000,Independent Client (elevated),0.202811
7,1700000,Client + Server,0.620498
7,1700000,Client + Server (elevated),0.434665
8,1700000,Independent Client,0.359730
8,1700000,Independent Client (elevated),0.205857
8,1700000,Client + Server,0.615567
8,1700000,Client + Server (elevated),0.470221
9,1700000,Independent Client,0.348171
9,1700000,Independent Client (elevated),0.205242
9,1700000,Client + Server,0.603022
9,1700000,Client + Server (elevated),0.470969
0,1800000,Independent Client,0.359029
0,1800000,Independent Client (elevated),0.214343
0,1800000,Client + Server,0.658173
0,1800000,Client + Server (elevated),0.491186
1,1800000,Independent Client,0.357257
1,1800000,Independent Client (elevated),0.214880
1,1800000,Client + Server,0.628831
1,1800000,Client + Server (elevated),0.496719
2,1800000,Independent Client,0.365208
2,1800000,Independent Client (elevated),0.217943
2,1800000,Client + Server,0.651366
2,1800000,Client + Server (elevated),0.495251
3,1800000,Independent Client,0.365366
3,1800000,Independent Client (elevated),0.214792
3,1800000,Client + Server,0.645046
3,1800000,Client + Server (elevated),0.459555
4,1800000,Independent Client,0.355808
4,1800000,Independent Client (elevated),0.217767
4,1800000,Client + Server,0.636491
4,1800000,Client + Server (elevated),0.493474
5,1800000,Independent Client,0.366981
5,1800000,Independent Client (elevated),0.217110
5,1800000,Client + Server,0.649644
5,1800000,Client + Server (elevated),0.491289
6,1800000,Independent Client,0.355671
6,1800000,Independent Client (elevated),0.216246
6,1800000,Client + Server,0.649357
6,1800000,Client + Server (elevated),0.494603
7,1800000,Independent Client,0.357970
7,1800000,Independent Client (elevated),0.216338
7,1800000,Client + Server,0.654918
7,1800000,Client + Server (elevated),0.471629
8,1800000,Independent Client,0.354980
8,1800000,Independent Client (elevated),0.216475
8,1800000,Client + Server,0.655891
8,1800000,Client + Server (elevated),0.456636
9,1800000,Independent Client,0.362709
9,1800000,Independent Client (elevated),0.202869
9,1800000,Client + Server,0.655715
9,1800000,Client + Server (elevated),0.497316
